Comment,Designator,Footprint,LCSC,Quantity
PCF8574T,U1,SOIC-16W_7.5x10.3mm_P1.27mm,,1
Conn_01x08_Pin,J10,PinHeader_1x08_P2.54mm_Vertical,,1
Conn_01x04_Pin,J8,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",,1
Conn_01x04_Pin,J7,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",,1
Conn_01x04_Pin,J6,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",,1
Conn_01x04_Pin,J5,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",,1
Conn_01x04_Pin,J4,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",,1
Conn_01x04_Pin,J3,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",,1
Conn_01x04_Pin,J2,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",,1
Conn_01x04_Pin,J1,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",,1
Conn_01x08_Pin,J9,PinHeader_1x08_P2.54mm_Vertical,,1
MAX31865,IC1,Adafruit_MAX31865,,1
MAX31865,IC2,Adafruit_MAX31865,,1
MAX31865,IC7,Adafruit_MAX31865,,1
MAX31865,IC5,Adafruit_MAX31865,,1
MAX31865,IC3,Adafruit_MAX31865,,1
MAX31865,IC4,Adafruit_MAX31865,,1
MAX31865,IC8,Adafruit_MAX31865,,1
MAX31865,IC6,Adafruit_MAX31865,,1
4.7k,R5,R_0603_1608Metric,,1
4.7k,R4,R_0603_1608Metric,,1
100n,C1,C_0603_1608Metric,,1
10k,R2,R_0603_1608Metric,,1
47u,C2,C_Radial_D5.0mm_H7.0mm_P2.00mm,,1
10k,R1,R_0603_1608Metric,,1
10k,R3,R_0603_1608Metric,,1
